;task;dataset;embedding_method;weighting_method;metric;value;n_runs;extra
57;infmax;synthetic3;deepwalk;crosswalk;std_disparity;8.071044726074435;20;pytorch_test
58;infmax;synthetic3;deepwalk;crosswalk;var_infected_nodes_fraction;0.7516779535482387;20;pytorch_test
59;infmax;synthetic3;deepwalk;crosswalk;var_disparity;65.14176297029395;20;pytorch_test
60;infmax;synthetic3;deepwalk;fairwalk;mean_infected_nodes_fraction;9.95942594021373;20;pytorch_test
61;infmax;synthetic3;deepwalk;fairwalk;mean_disparity;22.8182798712742;20;pytorch_test
62;infmax;synthetic3;deepwalk;fairwalk;std_infected_nodes_fraction;0.8770680335769919;20;pytorch_test
63;infmax;synthetic3;deepwalk;fairwalk;std_disparity;6.836838586592232;20;pytorch_test
64;infmax;synthetic3;deepwalk;fairwalk;var_infected_nodes_fraction;0.7692483355226115;20;pytorch_test
65;infmax;synthetic3;deepwalk;fairwalk;var_disparity;46.74236185911647;20;pytorch_test
66;infmax;synthetic3;deepwalk;skip;mean_infected_nodes_fraction;9.313000845694905;20;pytorch_test
67;infmax;synthetic3;deepwalk;skip;mean_disparity;19.441817336994436;20;pytorch_test
68;infmax;synthetic3;deepwalk;skip;std_infected_nodes_fraction;0.6189447271012782;20;pytorch_test
69;infmax;synthetic3;deepwalk;skip;std_disparity;6.198084099201465;20;pytorch_test
70;infmax;synthetic3;deepwalk;skip;var_infected_nodes_fraction;0.38309257520647577;20;pytorch_test
71;infmax;synthetic3;deepwalk;skip;var_disparity;38.416246500774044;20;pytorch_test
72;infmax;twitter;deepwalk;crosswalk;mean_infected_nodes_fraction;1.1031175059952039;20;pytorch_test
73;infmax;twitter;deepwalk;crosswalk;mean_disparity;0.20719923203724;20;pytorch_test
74;infmax;twitter;deepwalk;crosswalk;std_infected_nodes_fraction;0.04329356996875014;20;pytorch_test
75;infmax;twitter;deepwalk;crosswalk;std_disparity;0.07823383177233267;20;pytorch_test
76;infmax;twitter;deepwalk;crosswalk;var_infected_nodes_fraction;0.0018743332006390637;20;pytorch_test
77;infmax;twitter;deepwalk;crosswalk;var_disparity;0.006120532433781649;20;pytorch_test
78;infmax;twitter;deepwalk;fairwalk;mean_infected_nodes_fraction;1.1004529709565682;20;pytorch_test
79;infmax;twitter;deepwalk;fairwalk;mean_disparity;0.2189758213352321;20;pytorch_test
80;infmax;twitter;deepwalk;fairwalk;std_infected_nodes_fraction;0.05467168805937435;20;pytorch_test
81;infmax;twitter;deepwalk;fairwalk;std_disparity;0.12452766343410619;20;pytorch_test
82;infmax;twitter;deepwalk;fairwalk;var_infected_nodes_fraction;0.0029889934752615355;20;pytorch_test
83;infmax;twitter;deepwalk;fairwalk;var_disparity;0.015507138960358028;20;pytorch_test
84;infmax;twitter;deepwalk;skip;mean_infected_nodes_fraction;1.0764721556088463;20;pytorch_test
85;infmax;twitter;deepwalk;skip;mean_disparity;0.16055322221349047;20;pytorch_test
86;infmax;twitter;deepwalk;skip;std_infected_nodes_fraction;0.017674525927819925;20;pytorch_test
87;infmax;twitter;deepwalk;skip;std_disparity;0.16182201602855484;20;pytorch_test
88;infmax;twitter;deepwalk;skip;var_infected_nodes_fraction;0.00031238886677317876;20;pytorch_test
89;infmax;twitter;deepwalk;skip;var_disparity;0.02618636487154586;20;pytorch_test
90;linkpred;rice;deepwalk;crosswalk;mean_accuracy;71.75600166714345;20;pytorch_test
91;linkpred;rice;deepwalk;crosswalk;mean_disparity;39.93183923060609;20;pytorch_test
92;linkpred;rice;deepwalk;crosswalk;std_accuracy;0.6996424708152623;20;pytorch_test
93;linkpred;rice;deepwalk;crosswalk;std_disparity;12.49350140328875;20;pytorch_test
94;linkpred;rice;deepwalk;crosswalk;var_accuracy;0.4894995869684851;20;pytorch_test
95;linkpred;rice;deepwalk;crosswalk;var_disparity;156.087577313978;20;pytorch_test
96;linkpred;rice;deepwalk;fairwalk;mean_accuracy;72.66381811445491;20;pytorch_test
97;linkpred;rice;deepwalk;fairwalk;mean_disparity;60.86541493073848;20;pytorch_test
98;linkpred;rice;deepwalk;fairwalk;std_accuracy;0.6121263502617088;20;pytorch_test
99;linkpred;rice;deepwalk;fairwalk;std_disparity;16.617605541111008;20;pytorch_test
100;linkpred;rice;deepwalk;fairwalk;var_accuracy;0.37469866868472024;20;pytorch_test
101;linkpred;rice;deepwalk;fairwalk;var_disparity;276.1448139199633;20;pytorch_test
102;linkpred;rice;deepwalk;skip;mean_accuracy;81.90391379765092;20;pytorch_test
103;linkpred;rice;deepwalk;skip;mean_disparity;1.7664180624940602;20;pytorch_test
104;linkpred;rice;deepwalk;skip;std_accuracy;0.6933343354005783;20;pytorch_test
105;linkpred;rice;deepwalk;skip;std_disparity;1.552339592204911;20;pytorch_test
106;linkpred;rice;deepwalk;skip;var_accuracy;0.48071250064536164;20;pytorch_test
107;linkpred;rice;deepwalk;skip;var_disparity;2.4097582095269092;20;pytorch_test
108;linkpred;twitter;deepwalk;crosswalk;mean_accuracy;70.96662674918574;20;pytorch_test
109;linkpred;twitter;deepwalk;crosswalk;mean_disparity;56.754846100031365;20;pytorch_test
110;linkpred;twitter;deepwalk;crosswalk;std_accuracy;1.023739393939468;20;pytorch_test
111;linkpred;twitter;deepwalk;crosswalk;std_disparity;17.777940548564676;20;pytorch_test
112;linkpred;twitter;deepwalk;crosswalk;var_accuracy;1.048042346703549;20;pytorch_test
113;linkpred;twitter;deepwalk;crosswalk;var_disparity;316.0551701483;20;pytorch_test
114;linkpred;twitter;deepwalk;fairwalk;mean_accuracy;78.94211287153544;20;pytorch_test
115;linkpred;twitter;deepwalk;fairwalk;mean_disparity;21.422737251828682;20;pytorch_test
116;linkpred;twitter;deepwalk;fairwalk;std_accuracy;0.9108849106000676;20;pytorch_test
117;linkpred;twitter;deepwalk;fairwalk;std_disparity;5.149773634913273;20;pytorch_test
118;linkpred;twitter;deepwalk;fairwalk;var_accuracy;0.8297113203588932;20;pytorch_test
119;linkpred;twitter;deepwalk;fairwalk;var_disparity;26.52016849084786;20;pytorch_test
120;linkpred;twitter;deepwalk;skip;mean_accuracy;80.01087154212544;20;pytorch_test
121;linkpred;twitter;deepwalk;skip;mean_disparity;35.40355137319991;20;pytorch_test
122;linkpred;twitter;deepwalk;skip;std_accuracy;0.8825334156008736;20;pytorch_test
123;linkpred;twitter;deepwalk;skip;std_disparity;12.287031253894781;20;pytorch_test
124;linkpred;twitter;deepwalk;skip;var_accuracy;0.7788652296521443;20;pytorch_test
125;linkpred;twitter;deepwalk;skip;var_disparity;150.97113703418717;20;pytorch_test
126;nodeclass;rice;deepwalk;crosswalk;mean_accuracy;72.61363636363637;20;pytorch_test
127;nodeclass;rice;deepwalk;crosswalk;mean_disparity;31.877952885849595;20;pytorch_test
128;nodeclass;rice;deepwalk;crosswalk;std_accuracy;4.6463239713004265;20;pytorch_test
129;nodeclass;rice;deepwalk;crosswalk;std_disparity;34.381106311548194;20;pytorch_test
130;nodeclass;rice;deepwalk;crosswalk;var_accuracy;21.58832644628097;20;pytorch_test
131;nodeclass;rice;deepwalk;crosswalk;var_disparity;1182.060471205979;20;pytorch_test
132;nodeclass;rice;deepwalk;fairwalk;mean_accuracy;76.79545454545455;20;pytorch_test
133;nodeclass;rice;deepwalk;fairwalk;mean_disparity;41.50035166530769;20;pytorch_test
134;nodeclass;rice;deepwalk;fairwalk;std_accuracy;2.512263310672025;20;pytorch_test
135;nodeclass;rice;deepwalk;fairwalk;std_disparity;44.29116931285978;20;pytorch_test
136;nodeclass;rice;deepwalk;fairwalk;var_accuracy;6.311466942148764;20;pytorch_test
137;nodeclass;rice;deepwalk;fairwalk;var_disparity;1961.7076791004117;20;pytorch_test
138;nodeclass;rice;deepwalk;skip;mean_accuracy;84.68181818181819;20;pytorch_test
139;nodeclass;rice;deepwalk;skip;mean_disparity;201.5507442975531;20;pytorch_test
140;nodeclass;rice;deepwalk;skip;std_accuracy;1.9661389776256515;20;pytorch_test
141;nodeclass;rice;deepwalk;skip;std_disparity;75.1642915624735;20;pytorch_test
142;nodeclass;rice;deepwalk;skip;var_accuracy;3.865702479338842;20;pytorch_test
143;nodeclass;rice;deepwalk;skip;var_disparity;5649.670726088525;20;pytorch_test
